k,MAP,h3,d,pkx,optwL,P50,pxmin,pxgs50,slope
0.05,1825,1,1,0.5,0.238815224,-0.870375413,-0.837038588,-0.837038574,8.11E-08
0.05,1825,1,2,0.5,0.200000888,-1.740750825,-1.820276034,-1.820276,0.10528141
0.05,1825,1,3,0.5,0.178734773,-2.611126238,-2.978389058,-2.978388965,0.225848746
0.05,1825,1,4,0.5,0.164681892,-3.48150165,-4.26332323,-4.263323038,0.310387534
0.05,1825,1,5,0.5,0.154434137,-4.351877063,-5.648867606,-5.228888268,0.372054834
0.05,1825,1,6,0.5,0.146555802,-5.222252475,-7.104996404,-5.990088415,0.417713287
0.05,1825,1,7,0.5,0.140226702,-6.092627888,-8.620620377,-6.767876559,0.453228452
0.05,1825,1,8,0.5,0.13499007,-6.9630033,-10.18439178,-7.552207152,0.48167685
0.05,1825,1,9,0.5,0.130556622,-7.833378713,-11.7884818,-8.339773158,0.505073364
0.05,1825,1,10,0.5,0.12681344,-8.703754125,-13.39038727,-9.140817153,0.523201155
0.05,1825,10,1,0.5,0.249306153,-0.870375413,-0.693372399,-0.693372393,0.160069439
0.05,1825,10,2,0.5,0.206910328,-1.740750825,-1.5686685,-1.568668497,0.335564269
0.05,1825,10,3,0.5,0.184815566,-2.611126238,-2.572422175,-2.572422146,0.439173145
0.05,1825,10,4,0.5,0.170278237,-3.48150165,-3.682816032,-3.682815943,0.508699966
0.05,1825,10,5,0.5,0.159746981,-4.351877063,-4.871043706,-4.595195053,0.558023751
0.05,1825,10,6,0.5,0.151582936,-5.222252475,-6.129269203,-5.259439883,0.595702741
0.05,1825,10,7,0.5,0.144992154,-6.092627888,-7.446773708,-5.916318819,0.625637417
0.05,1825,10,8,0.5,0.139475231,-6.9630033,-8.825916675,-6.560466438,0.65065511
0.05,1825,10,9,0.5,0.134854655,-7.833378713,-10.2292607,-7.200745478,0.67075153
0.05,1825,10,10,0.5,0.130846915,-8.703754125,-11.67435776,-7.830976174,0.688085434
0.05,1825,25,1,0.5,0.261192313,-0.870375413,-0.565419214,-0.565419214,0.242216347
0.05,1825,25,2,0.5,0.21657038,-1.740750825,-1.28449731,-1.2844973,0.402097486
0.05,1825,25,3,0.5,0.19374321,-2.611126238,-2.092208913,-2.092208882,0.493683121
0.05,1825,25,4,0.5,0.178967148,-3.48150165,-2.961487817,-2.961487771,0.552872634
0.05,1825,25,5,0.5,0.16825548,-4.351877063,-3.88071635,-3.638277057,0.595205822
0.05,1825,25,6,0.5,0.160027101,-5.222252475,-4.833807821,-4.230366536,0.626633981
0.05,1825,25,7,0.5,0.153353057,-6.092627888,-5.825379168,-4.798156585,0.651959816
0.05,1825,25,8,0.5,0.14774683,-6.9630033,-6.857526346,-5.346418684,0.673339263
0.05,1825,25,9,0.5,0.143022747,-7.833378713,-7.906470821,-5.879297004,0.69062781
0.05,1825,25,10,0.5,0.138945576,-8.703754125,-8.974229848,-6.398725851,0.705173459
0.05,1825,100,1,0.5,0.290431092,-0.870375413,-0.355245236,-0.355245238,0.287194491
0.05,1825,100,2,0.5,0.239708751,-1.740750825,-0.823458353,-0.823458354,0.435035034
0.05,1825,100,3,0.5,0.214838716,-2.611126238,-1.330467025,-1.330467021,0.51444152
0.05,1825,100,4,0.5,0.198913442,-3.48150165,-1.864267283,-1.79033233,0.565959739
0.05,1825,100,5,0.5,0.187505532,-4.351877063,-2.41465662,-2.202854335,0.601864345
0.05,1825,100,6,0.5,0.178741634,-5.222252475,-2.977888307,-2.594863053,0.62878445
0.05,1825,100,7,0.5,0.171684362,-6.092627888,-3.552519243,-2.96993775,0.650147345
0.05,1825,100,8,0.5,0.165826204,-6.9630033,-4.135959133,-3.330800024,0.667549546
0.05,1825,100,9,0.5,0.160795581,-7.833378713,-4.733435664,-3.679674956,0.682889862
0.05,1825,100,10,0.5,0.156486806,-8.703754125,-5.331441354,-4.017954236,0.695254638
0.025,1825,25,1,0.5,0.263535255,-0.870375413,-0.543730225,-0.543730222,0.205008915
0.025,1825,25,2,0.5,0.218616351,-1.740750825,-1.232670802,-1.232670788,0.371914676
0.025,1825,25,3,0.5,0.195575156,-2.611126238,-2.007719968,-2.007719933,0.468047853
0.025,1825,25,4,0.5,0.180621789,-3.48150165,-2.844486415,-2.844486405,0.53055851
0.025,1825,25,5,0.5,0.169773389,-4.351877063,-3.731024912,-3.652327426,0.575265267
0.025,1825,25,6,0.5,0.161385205,-5.222252475,-4.658155596,-4.242332751,0.609130957
0.025,1825,25,7,0.5,0.154617452,-6.092627888,-5.61959212,-4.808254184,0.635883029
0.025,1825,25,8,0.5,0.149001953,-6.9630033,-6.608095183,-5.355029097,0.657521912
0.025,1825,25,9,0.5,0.144212631,-7.833378713,-7.624697605,-5.885773538,0.675726598
0.025,1825,25,10,0.5,0.140065376,-8.703754125,-8.664194891,-6.402961763,0.691208497
0.1,1825,25,1,0.5,0.258284489,-0.870375413,-0.593835843,-0.593835846,0.288619109
0.1,1825,25,2,0.5,0.214118733,-1.740750825,-1.350173693,-1.350173688,0.438472707
0.1,1825,25,3,0.5,0.191701301,-2.611126238,-2.191590011,-2.191589986,0.522567142
0.1,1825,25,4,0.5,0.177226262,-3.48150165,-3.091036252,-2.99780754,0.576731627
0.1,1825,25,5,0.5,0.166697023,-4.351877063,-4.04215649,-3.622204224,0.616128943
0.1,1825,25,6,0.5,0.158509625,-5.222252475,-5.039800868,-4.215189106,0.646737879
0.1,1825,25,7,0.5,0.151944809,-6.092627888,-6.065588929,-4.785112982,0.670461597
0.1,1825,25,8,0.5,0.14652001,-6.9630033,-7.112601536,-5.336370446,0.689386452
0.1,1825,25,9,0.5,0.141900341,-7.833378713,-8.184075212,-5.8716564,0.705273053
0.1,1825,25,10,0.5,0.137809558,-8.703754125,-9.302797491,-6.392782712,0.720018511
0.05,912.5,25,1,0.5,0.25647201,-0.870375413,-0.612437791,-0.612437796,0.317897465
0.05,912.5,25,2,0.5,0.25647201,-1.740750825,-0.612437795,-0.61243779,7.14E-09
0.05,912.5,25,3,0.5,0.190288118,-2.611126238,-2.263778635,-2.263778626,0.542966712
0.05,912.5,25,4,0.5,0.175963767,-3.48150165,-3.189357764,-2.984041882,0.594480183
0.05,912.5,25,5,0.5,0.165645872,-4.351877063,-4.155717084,-3.610363892,0.63066506
0.05,912.5,25,6,0.5,0.157617574,-5.222252475,-5.165932908,-4.205314943,0.658974492
0.05,912.5,25,7,0.5,0.151145452,-6.092627888,-6.207355423,-4.776800098,0.681380325
0.05,912.5,25,8,0.5,0.14579554,-6.9630033,-7.268709428,-5.32961435,0.699255708
0.05,912.5,25,9,0.5,0.141196943,-7.833378713,-8.364159117,-5.866041913,0.714863127
0.05,912.5,25,10,0.5,0.137235766,-8.703754125,-9.474368089,-6.389090887,0.727876035
0.05,3650,25,1,0.5,0.265692999,-0.870375413,-0.52465304,-0.524653035,0.170672527
0.05,3650,25,2,0.5,0.220767308,-1.740750825,-1.180926372,-1.180926353,0.340089443
0.05,3650,25,3,0.5,0.197482646,-2.611126238,-1.924156218,-1.92415621,0.441375811
0.05,3650,25,4,0.5,0.182291182,-3.48150165,-2.732143345,-2.732143328,0.508164519
0.05,3650,25,5,0.5,0.171283706,-4.351877063,-3.589060459,-3.589060425,0.555621694
0.05,3650,25,6,0.5,0.162749058,-5.222252475,-4.4895842,-4.252947462,0.591800551
0.05,3650,25,7,0.5,0.155802048,-6.092627888,-5.434838325,-4.816458948,0.621089491
0.05,3650,25,8,0.5,0.150090452,-6.9630033,-6.400746878,-5.361266782,0.64411014
0.05,3650,25,9,0.5,0.145165342,-7.833378713,-7.407938974,-5.889881304,0.664099038
0.05,3650,25,10,0.5,0.140977178,-8.703754125,-8.421418961,-6.405356816,0.680164139
0.05,1825,25,1,0.25,0.2540921,-0.870375413,-0.637963431,-0.637963427,0.077575232
0.05,1825,25,2,0.25,0.212112403,-1.740750825,-1.407011724,-1.407011725,0.263188434
0.05,1825,25,3,0.25,0.190134627,-2.611126238,-2.271793973,-2.271793966,0.370582633
0.05,1825,25,4,0.25,0.175732909,-3.48150165,-3.207749939,-3.207749922,0.440502468
0.05,1825,25,5,0.25,0.165199237,-4.351877063,-4.205153699,-4.205153657,0.490782641
0.05,1825,25,6,0.25,0.157083141,-5.222252475,-5.243358248,-5.243358209,0.528130364
0.05,1825,25,7,0.25,0.150437019,-6.092627888,-6.336412019,-6.336411961,0.558533377
0.05,1825,25,8,0.25,0.144990527,-6.9630033,-7.4471398,-7.447139724,0.582272255
0.05,1825,25,9,0.25,0.140266808,-7.833378713,-8.609829595,-8.609829501,0.602977721
0.05,1825,25,10,0.25,0.13619304,-8.703754125,-9.796220603,-9.796220535,0.620352498
0.05,1825,25,1,0.75,0.264470337,-0.870375413,-0.535360045,-0.535360044,0.346476444
0.05,1825,25,2,0.75,0.21836788,-1.740750825,-1.238826015,-1.23427486,0.494752675
0.05,1825,25,3,0.75,0.195374065,-2.611126238,-2.016786853,-1.834896922,0.574493113
0.05,1825,25,4,0.75,0.180600369,-3.48150165,-2.845964378,-2.395597306,0.625664891
0.05,1825,25,5,0.75,0.170034603,-4.351877063,-3.705984934,-2.925324735,0.660693414
0.05,1825,25,6,0.75,0.16187785,-5.222252475,-4.59638229,-3.430215148,0.68741726
0.05,1825,25,7,0.75,0.1553018,-6.092627888,-5.51193456,-3.914782778,0.708669319
0.05,1825,25,8,0.75,0.149859212,-6.9630033,-6.444119561,-4.382324165,0.725695688
0.05,1825,25,9,0.75,0.145244257,-7.833378713,-7.39032593,-4.835269182,0.739723575
0.05,1825,25,10,0.75,0.141216843,-8.703754125,-8.358997886,-5.275548716,0.752192464
